X	Y	Bed_Alt
583004.2921	130830.5012	2865.333
583002.2921	130828.5012	2864.906
583004.2921	130828.5012	2865.747
583002.2921	130826.5012	2865.354
583002.2921	130824.5012	2865.879
583002.2921	130822.5012	2866.424
583002.2921	130820.5012	2866.846
583000.2921	130818.5012	2866.357
583002.2921	130818.5012	2867.375
583000.2921	130816.5012	2867.053
583000.2921	130814.5012	2867.802
583000.2921	130812.5012	2868.542
583000.2921	130810.5012	2869.179
582998.2921	130808.5012	2868.646
583000.2921	130808.5012	2869.95
582444.2921	130650.5012	2800.744
582444.2921	130648.5012	2801.047
582442.2921	130646.5012	2801.135
582444.2921	130646.5012	2801.288
582442.2921	130644.5012	2801.353
582442.2921	130642.5012	2801.534
582440.2921	130640.5012	2801.645
582442.2921	130640.5012	2801.709
582440.2921	130638.5012	2801.864
582438.2921	130636.5012	2802.086
582440.2921	130636.5012	2802.048
582438.2921	130634.5012	2802.324
582436.2921	130632.5012	2802.662
582438.2921	130632.5012	2802.59
582436.2921	130630.5012	2802.923
582434.2921	130628.5012	2803.235
582436.2921	130628.5012	2803.189
582434.2921	130626.5012	2803.48
582434.2921	130624.5012	2803.667
582432.2921	130622.5012	2803.847
582434.2921	130622.5012	2803.88
582432.2921	130620.5012	2804.102
582430.2921	130618.5012	2804.272
582432.2921	130618.5012	2804.336
582430.2921	130616.5012	2804.472
582430.2921	130614.5012	2804.679
582428.2921	130612.5012	2804.848
582430.2921	130612.5012	2804.922
582428.2921	130610.5012	2805.048
582426.2921	130608.5012	2805.256
582428.2921	130608.5012	2805.268
582424.2921	130606.5012	2805.345
582426.2921	130606.5012	2805.476
582422.2921	130604.5012	2805.412
582424.2921	130604.5012	2805.554
582420.2921	130602.5012	2805.474
582422.2921	130602.5012	2805.568
582418.2921	130600.5012	2805.554
582420.2921	130600.5012	2805.65
582416.2921	130598.5012	2805.654
582418.2921	130598.5012	2805.748
582414.2921	130596.5012	2805.634
582416.2921	130596.5012	2805.854
582412.2921	130594.5012	2805.772
582414.2921	130594.5012	2805.78
582410.2921	130592.5012	2806.017
582412.2921	130592.5012	2805.982
582408.2921	130590.5012	2806.217
582410.2921	130590.5012	2806.224
582406.2921	130588.5012	2806.309
582408.2921	130588.5012	2806.379
582404.2921	130586.5012	2806.597
582406.2921	130586.5012	2806.466
582402.2921	130584.5012	2807.02
582404.2921	130584.5012	2806.701
582400.2921	130582.5012	2807.253
582402.2921	130582.5012	2807.125
582400.2921	130580.5012	2807.397
582398.2921	130578.5012	2807.791
582400.2921	130578.5012	2807.6
582396.2921	130576.5012	2808.203
582398.2921	130576.5012	2808.061
582394.2921	130574.5012	2808.529
582396.2921	130574.5012	2808.443
582390.2921	130572.5012	2809.167
582392.2921	130572.5012	2808.907
582394.2921	130572.5012	2808.735
582378.2921	130570.5012	2810.308
582380.2921	130570.5012	2809.554
582382.2921	130570.5012	2809.86
582384.2921	130570.5012	2810.254
582386.2921	130570.5012	2810.154
582388.2921	130570.5012	2809.724
582390.2921	130570.5012	2809.319
582376.2921	130568.5012	2811.558
582378.2921	130568.5012	2810.569
582374.2921	130566.5012	2812.552
582376.2921	130566.5012	2812.199
582374.2921	130564.5012	2812.685
582372.2921	130562.5012	2812.758
582374.2921	130562.5012	2812.686
582370.2921	130560.5012	2812.665
582372.2921	130560.5012	2812.732
582370.2921	130558.5012	2812.667
582370.2921	130556.5012	2812.657
582370.2921	130554.5012	2812.619
582370.2921	130552.5012	2812.496
582540.2921	130806.5012	2766.831
582542.2921	130806.5012	2766.881
582544.2921	130806.5012	2767.051
582538.2921	130804.5012	2767.397
582540.2921	130804.5012	2767.44
582536.2921	130802.5012	2767.883
582538.2921	130802.5012	2767.87
582534.2921	130800.5012	2768.454
582536.2921	130800.5012	2768.377
582532.2921	130798.5012	2769.191
582534.2921	130798.5012	2769.115
582530.2921	130796.5012	2769.877
582532.2921	130796.5012	2769.793
582530.2921	130794.5012	2770.429
582528.2921	130792.5012	2770.949
582530.2921	130792.5012	2770.957
582528.2921	130790.5012	2771.487
582526.2921	130788.5012	2772.124
582528.2921	130788.5012	2772.161
582526.2921	130786.5012	2772.612
582526.2921	130784.5012	2773.181
582524.2921	130782.5012	2773.866
582526.2921	130782.5012	2773.868
582524.2921	130780.5012	2774.499
582522.2921	130778.5012	2775.074
582524.2921	130778.5012	2774.965
582520.2921	130776.5012	2775.718
