,X,Y,alt
2193914,2145,177,-15.153520493980523
1980482,1204,349,-1.0523677812384449
1294196,335,676,26.653425631973732
1552231,2430,566,0.7053981389549335
229464,2477,1161,-34.967120588913986
121539,2739,1248,11.210941745148375
1919463,1137,383,-19.493780272296135
934267,2424,824,10.46940865331544
1515317,2298,584,0.2836839889541807
873784,111,847,-11.486928105795414
1141360,2158,740,26.758053454731453
1056416,2130,775,29.020915443451486
1518722,1662,582,27.378206671846783
1231875,1407,702,-13.976747365433312
1195880,1389,717,-23.402426070882484
1714151,1764,489,17.935932322789995
2065718,1491,299,13.391446636643195
1420607,2840,625,53.943875452092016
676809,1296,925,-7.063921842446689
1861004,633,414,36.47515987091401
206255,1557,1176,-55.38884833013435
1259063,2312,691,-1.3161273145310588
230857,1883,1160,-50.49030492294469
980287,2727,806,-10.102101381141438
561635,2087,976,29.206301609675847
1120915,3381,749,-96.96592069254393
550881,2027,981,15.082211869532784
1420800,3033,625,6.661494676993243
2139200,1672,253,-0.8306177315025707
1147574,1171,737,-21.822535574973244
1507412,2473,588,1.7960957054842766
1285169,1664,680,14.774018759090723
2203181,2113,149,-20.37108668968176
1071923,2977,769,23.851679023699035
2191434,2206,184,-20.609662383858904
961718,1896,813,17.53964072011422
1850773,1839,420,16.562737394689066
1774982,2082,459,8.387937985226017
366464,2290,1075,-49.248138048148576
2131711,1643,258,-12.391597300348167
804026,3209,875,30.155108861879853
1041315,1740,781,3.067228120474738
1333705,1488,660,-16.389542859638823
60528,2977,1348,15.993063751981026
978854,1294,806,-14.951584802681282
1567048,2502,559,33.40512306605979
1410960,124,628,28.797899561166105
1893055,650,397,38.251912785905006
1675815,861,507,-26.609628978685578
206938,2756,1176,15.587883807675098
2003835,1948,336,18.739791617191713
303082,2148,1111,2.9632161360891587
426907,2383,1043,-13.610042257136683
901636,2988,837,-24.601506510549825
112755,2476,1261,-7.5978663122905346
532142,2327,990,-26.817825112625542
1771123,2203,461,-2.424854420590691
1725086,2469,484,46.00971870773037
1391631,1586,636,12.451307978914883
1239089,1437,699,-13.691268111887894
794672,1507,878,-27.94158273618268
202229,1916,1179,-61.95829806443453
529188,1474,991,-6.409966034378158
139570,1299,1227,6.715270943574069
1711006,673,490,54.46578820169998
195099,1741,1184,-64.09503436602517
1559308,1158,562,-32.386288987172065
