,cell_x,cell_y,X,Y,alt
613,207.0,361.0,582545.5207,129876.1843,-39.480988161564255
614,1402.0,667.0,584935.4442,130487.6713,-47.98791795923171
615,517.0,610.0,583165.5725,130373.3021,-27.91952604759763
617,265.0,427.0,582662.5308,130007.5194,-66.32973873845003
619,208.0,761.0,582548.529,130676.0244,-39.1469933831936
620,905.0,109.0,583941.9869,129372.2146,-36.31693189800262
621,504.0,247.0,583139.509,129648.6503,-43.77013813122085
623,697.0,223.0,583526.007,129599.0349,-22.24059666051926
624,1305.0,626.0,584742.6884,130405.8535,-19.96931323211402
625,260.0,437.0,582651.6408,130027.273,-86.42976260831392
626,250.0,797.0,582632.2171,130747.5389,-49.84764729521112
627,825.0,251.0,583781.3125,129656.0037,-33.3458085709417
629,659.0,50.0,583449.3181,129253.2156,-8.610114980891012
631,824.0,249.0,583780.9635,129651.8017,-35.978305095513406
632,697.0,227.0,583525.5655,129607.1694,-18.313618122527714
633,507.0,237.0,583145.0144,129627.339,-40.827628566503336
635,163.0,638.0,582457.4353,130430.0199,-31.941834442319305
636,826.0,258.0,583783.2461,129670.5239,-30.14057666674671
638,226.0,547.0,582583.8026,130247.3841,-48.8262531064197
639,904.0,113.0,583940.3745,129379.8759,-35.25975968127159
641,172.0,623.0,582475.8385,130400.8442,-18.738214767104182
642,895.0,259.0,583921.5341,129671.9882,-38.53560424457237
645,169.0,627.0,582470.6927,130408.4227,-22.37602682649367
646,209.0,358.0,582550.4419,129869.8683,-42.729271295722356
647,234.0,537.0,582599.7317,130227.3377,-52.624631551270795
648,1304.0,629.0,584739.2604,130411.0608,-20.31271426150306
649,167.0,631.0,582465.6087,130415.9352,-27.513668463770955
650,938.0,125.0,584008.0984,129404.9393,-28.5204278808651
652,282.0,396.0,582695.959,129946.5017,-60.63035407815596
654,1400.0,665.0,584931.5516,130484.6433,-48.549570887018035
655,725.0,138.0,583581.4734,129429.7098,-48.153493080067165
657,891.0,260.0,583913.795,129673.7072,-39.18641471774254
659,471.0,582.0,583073.9959,130317.9437,-63.41362747910398
662,239.0,530.0,582609.2299,130213.7839,-55.98081113039461
663,201.0,756.0,582534.0383,130665.5752,-36.446049894215776
664,510.0,606.0,583152.2435,130366.5257,-28.014227515722723
666,824.0,242.0,583780.0155,129637.1312,-43.54372708951905
